imdbId,title,genre,score,viewers
tt0396057,Hum Pyar Tumhi Se Kar Baithe(2002),Musical | Romance,5.4,56
tt0396690,Kisna: The Warrior Poet(2005),Drama | Musical | Romance,4.6,1.4K
tt0396782,Paisa Vasool(2004),Comedy,4.3,163
tt0397882,Ab Tumhare Hawale Watan Saathiyo(2004),Action | Drama | Romance,4.4,1.7K
tt0401532,Jaago(2004),Drama,6.6,184
tt0402014,Ab Tak Chhappan(2004),Crime | Drama | Thriller,7.8,9.1K
tt0402606,Suno Sasurjee(2004),Action | Comedy | Musical,3.0,164
tt0402607,Tum: A Dangerous Obsession(2004),Drama | Romance | Thriller,3.0,204
tt0403935,Action Jackson(2014),Action | Drama | Romance,3.4,4.1K
tt0405024,Hum Kaun Hai?(2004),Horror | Drama | Mystery,3.6,366
tt0405046,Insaaf: The Justice(2004),Drama,4.0,108
tt0405266,Raincoat(2004),Drama | Romance,7.7,4.8K
tt0405507,Murder(2004),Drama | Thriller,5.5,4.2K
tt0405508,Rang De Basanti(2006),Drama,8.1,121K
tt0406977,Masti(2004),Comedy | Crime | Mystery,6.2,6.8K
tt0408837,Hawas(2004),Drama | Romance | Thriller,2.9,224
tt0408976,Krishna Cottage(2004),Comedy | Fantasy | Horror,5.2,1.3K
tt0409068,Muskaan(2004),Romance,4.5,236
tt0409527,Shabd(2005),Drama,5.1,1.5K
tt0409724,Bardaasht(2004),Drama,5.9,762
tt0410591,Shart: The Challenge(2004),Romance,3.5,171
tt0411815,Run(2004),Action | Comedy | Romance,5.0,1.4K
tt0414040,Gayab(2004),Fantasy,4.3,860
tt0414503,Shaadi Ka Laddoo(2004),Comedy,5.0,109
tt0414713,Amu(2005),Drama,7.3,934
tt0414714,Girlfriend(2004),Drama,3.3,377
tt0415003,Garv: Pride and Honour(2004),Action | Drama,5.6,4.8K
tt0415373,WOH(2004),Crime | Drama | Thriller,4.5,48
tt0415768,Dus(2005),Action | Crime | Thriller,5.5,3.5K
tt0415908,Kaal(2005),Thriller | Adventure | Mystery,4.7,5.7K
tt0416120,Police Force: An Inside Story(2004),Action | Crime | Drama,4.2,795
tt0416282,Vaastu Shastra(2004),Horror | Mystery,5.0,713
tt0416712,Elaan(2005),Action,4.6,775
tt0418096,Rakht(2004),Horror | Thriller,3.8,696
tt0418362,Mujhse Shaadi Karogi(2004),Comedy | Romance,6.7,16K
tt0418460,Aitraaz(2004),Drama | Thriller,6.6,11K
tt0418598,"Chot [Aaj Isko, Kal Tereko](2004)",Musical | Action | Crime,5.2,41
tt0418880,Mere Jeevan Saathi(2006),Music | Romance,3.4,1K
tt0419058,Phir Hera Pheri(2006),Comedy | Crime,7.2,26K
tt0419468,Baabul(2006),Drama | Family | Romance,5.4,3.5K
tt0419828,Hyderabad Blues 2(2004),Drama | Comedy,6.1,238
tt0419974,Morning Raga(2004),Drama,6.8,316
tt0420123,Revati(2005),Drama,5.4,40
tt0420304,Viruddh... Family Comes First(2005),Drama,7.1,2.2K
tt0420332,Veer-Zaara(2004),Drama | Musical | Romance,7.8,55K
tt0421277,Julie(2004),Drama,4.1,455
tt0422091,Dhoom(2004),Action | Adventure | Thriller,6.6,22K
tt0422236,Fida(2004),Adventure | Romance | Thriller,5.4,2.8K
tt0422950,Phir Milenge(2004),Drama,6.2,2.3K
tt0423087,Rok Sako To Rok Lo(2004),Adventure | Musical | Romance,4.5,1.9K
tt0426075,Lakeer - Forbidden Lines(2004),Action | Drama | Romance,4.7,1K
tt0426864,Aakhri Inteqam(2002),Action,2.8,22
tt0429289,Tauba Tauba(2004),Comedy | Drama,2.8,113
tt0430030,Dobara(2004),Musical | Drama,4.2,185
tt0430328,Madhoshi(2004),Musical | Mystery | Drama,4.6,438
tt0430381,Musafir(2004),Action | Crime | Drama,5.6,1.9K
tt0430480,Popcorn Khao! Mast Ho Jao(2004),Comedy | Drama | Romance,4.0,91
tt0430589,Shaadi Karke Phas Gaya Yaar(2006),Romance,4.0,1.4K
tt0430702,Tumsa Nahin Dekha(2004),Musical | Romance,4.6,835
tt0432047,Sarkar(2005),Action | Crime | Drama,7.6,17K
tt0432385,AK 47(2004),Action | Thriller,5.3,47
tt0432536,Hatya: The Murder(2004),Action | Crime | Fantasy,2.8,542
tt0432637,Krrish(2006),Action | Adventure | Romance,6.4,23K
tt0433605,Naach(2004),Musical | Drama,4.3,612
tt0435259,Padmashree Laloo Prasad Yadav(2005),Comedy,2.5,220
tt0435390,Shukriya: Till Death Do Us Apart(2004),Musical | Drama | Family,5.1,179
tt0435437,Taarzan: The Wonder Car(2004),Musical | Action | Drama,4.7,5.2K
tt0436451,Jo Bole So Nihaal(2005),Action,3.7,754
tt0437182,Family: Ties of Blood(2006),Action | Crime | Drama,5.7,2K
tt0437238,Hulchul(2004),Action | Comedy | Drama,7.0,8.7K
tt0437279,Khamoshh... Khauff Ki Raat(2005),Thriller,3.5,290
tt0437407,Parineeta(2005),Drama | Musical | Romance,7.2,9.4K
tt0438153,Let's Enjoy(2004),Comedy,6.5,119
tt0438875,Insan(2005),Drama | War,4.6,1.4K
tt0438894,Kisse Pyaar Karo?n(2009),Action | Comedy | Crime,3.4,162
tt0438981,Silsiilay(2005),Drama,4.3,756
tt0439662,Fanaa(2006),Drama | Musical | Romance,7.1,34K
tt0439754,Pyaar Mein Twist(2005),Comedy | Drama | Musical,5.5,205
tt0439872,Wajahh: A Reason to Kill(2004),Thriller,4.5,87
tt0441048,Dhoom:2(2006),Action | Thriller,6.5,29K
tt0442606,Mulaqaat(2002),Drama | Thriller,3.2,12
tt0442764,Dil Jo Bhi Kahey...(2005),Romance,4.7,373
tt0442799,Kis Kis Ki Kismat(2004),Comedy,2.7,155
tt0442855,Vaada(2005),Romance | Mystery | Drama,6.0,907
tt0443208,Rog(2005),Mystery | Romance | Thriller,5.2,541
tt0443331,Milenge Milenge(2010),Drama | Romance,4.0,1.9K
tt0443594,Naina(2005),Drama | Horror | Mystery,4.2,854
tt0443708,Page 3(2005),Drama,7.3,7K
tt0444767,A Sublime Love Story: Barsaat(2005),Romance,4.3,717
tt0444769,Blackmail(2005),Action | Drama | Thriller,4.7,701
tt0444781,Deewane Huye Paagal(2005),Comedy | Romance,5.5,5.4K
tt0444820,Fareb(2005),Drama | Thriller,4.2,196
tt0444840,Humko Deewana Kar Gaye(2006),Romance,5.2,4.3K
tt0444849,Karam(2005),Crime | Thriller,5.8,1.5K
tt0444874,Main Aisa Hi Hoon(2005),Musical | Drama,4.9,1.1K
tt0444913,Tango Charlie(2005),Action | Drama | War,6.1,2.2K
tt0444915,Tathastu(2006),Drama,4.5,509
tt0445022,Jurm(2005),Thriller,5.4,567
tt0445056,Sheesha(2005),Drama | Romance | Thriller,3.5,290
tt0447235,Kiss Kis Ko(2004),Musical,4.8,28
tt0447890,Chaahat Ek Nasha...(2005),Romance,3.9,88
tt0448121,Sins(2005),Drama | Romance,4.2,438
tt0448206,Bunty Aur Babli(2005),Adventure | Comedy | Crime,6.2,7.9K
tt0449189,Banaras(2006),Musical | Drama,6.1,353
tt0449228,Dosti: Friends Forever(2005),Romance,5.3,2.7K
tt0449306,Lucky: No Time for Love(2005),Musical | Drama | Romance,4.7,3.8K
tt0449389,Shaadi No. 1(2005),Comedy,3.5,984
tt0449870,Chehraa(2005),Thriller,4.3,162
tt0449982,Hum Dum(2005),Comedy | Romance,6.9,108
tt0449994,Jodhaa Akbar(2008),Action | Adventure | Biography,7.5,34K
tt0449999,Kabhi Alvida Naa Kehna(2006),Drama,6.0,21K
tt0451631,Apaharan(2005),Action | Crime | Drama,7.4,5K
tt0451639,Bachke Rehna Re Baba(2005),Comedy,2.8,219
tt0451787,Kyon Ki...(2005),Drama | Romance,5.5,4.5K
tt0451803,Maine Pyaar Kyun Kiya(2005),Comedy | Drama | Romance,5.6,5.6K
tt0451824,My Wife's Murder(2005),Thriller,6.2,953
tt0451833,No Entry(2005),Comedy | Drama | Musical,6.6,12K
tt0451850,Paheli(2005),Fantasy | Romance,6.4,14K
tt0451919,Socha Na Tha(2005),Romance | Comedy,7.4,7.8K
tt0451983,Zeher(2005),Thriller,5.6,2.2K
tt0453582,7 1/2 Phere: More Than a Wedding(2005),Comedy | Drama,5.3,317
tt0453671,Garam Masala(2005),Comedy,6.7,17K
tt0453729,Iqbal(2005),Drama,8.1,17K
tt0453748,Kuchh Meetha Ho Jaye(2005),Comedy | Romance,3.4,304
tt0454396,Aryan: Unbreakable(2006),Drama,4.4,355
tt0454429,Chingaari(2006),Drama,4.7,221
tt0456144,Lage Raho Munna Bhai(2006),Comedy | Drama | Romance,8.0,48K
tt0456165,Salaam Namaste(2005),Comedy | Drama | Romance,6.1,7.9K
tt0456413,Fight Club: Members Only(2006),Action | Comedy,3.5,1.6K
tt0456481,Jaan-E-Mann: Let's Fall in Love... Again(2006),Musical | Romance,6.1,9K
tt0456500,Kyaa Kool Hai Hum(2005),Comedy | Mystery,6.1,3.7K
tt0456549,Mr Ya Miss(2005),Comedy,3.8,535
tt0456558,Nazar(2005),Thriller,4.0,153
tt0457875,Ek Ajnabee(2005),Action | Adventure | Crime,5.3,1.8K
tt0457940,Home Delivery: Aapko... Ghar Tak(2005),Comedy | Romance,3.4,650
tt0458017,Mixed Doubles(2006),Comedy | Drama,6.5,698
